Ligand-ID,RMSD(Asp32H Asp228-),RMSD(Asp32H Asp228H)
BACE_19,1.96,2.913
BACE_10,2.524,2.168
BACE_102,2.382,2.591
BACE_106,1.887,2.586
BACE_108,2.791,3.978
BACE_109,2.825,2.046
BACE_111,4.105,3.667
BACE_112,2.544,4.318
BACE_113,1.91,1.733
BACE_118,1.829,3.166
BACE_121,1.957,3.278
BACE_122,1.903,3.021
BACE_123,4.5,2.576
BACE_124,1.863,2.548
BACE_125,3.107,3.098
BACE_126,4.088,3.617
BACE_127,3.179,8.215
BACE_128,1.686,3.213
BACE_129,2.622,2.31
BACE_130,1.952,2.201
BACE_131,2.013,2.642
BACE_134,1.669,1.719
BACE_136,1.713,3.443
BACE_14,2.707,2.228
BACE_143,1.43,3.309
BACE_144,2.945,4.219
BACE_146,2.484,1.904
BACE_147,1.995,1.849
BACE_149,2.526,3.194
BACE_150,3.917,3.235
BACE_151,2.898,2.696
BACE_154,2.223,1.621
BACE_155,1.481,1.208
BACE_156,2.447,2.031
BACE_157,1.942,2.871
BACE_158,2.185,2.309
BACE_16,1.92,2.99
BACE_20,2.147,3.8
BACE_22,3.37,3.222
BACE_25,2.486,3.366
BACE_26,2.673,2.878
BACE_28,3.234,5.018
BACE_30,3.034,3.319
BACE_31,3.559,2.85
BACE_37,2.133,3.38
BACE_38,2.369,3.017
BACE_39,5.169,3.012
BACE_45,3.329,4.37
BACE_49,3.803,7.553
BACE_5,2.957,4.16
BACE_52,1.734,4.743
BACE_53,3.515,5.125
BACE_57,2.042,4.42
BACE_58,2.804,2.668
BACE_59,2.565,3.721
BACE_62,2.225,1.797
BACE_63,2.457,2.976
BACE_66,2.8,7.537
BACE_70,1.829,2.43
BACE_72,2.64,2.64
BACE_74,2.937,5.11
BACE_75,2.883,3.24
BACE_76,2.648,8.578
BACE_78,2.34,2.368
BACE_79,2.43,2.958
BACE_84,3.649,2.145
BACE_88,2.414,3.87
BACE_89,2.525,5.288
BACE_91,1.914,1.959
BACE_92,1.67,3.638
BACE_94,2.675,2.77
BACE_95,2.888,3.22
BACE_96,2.281,2.904
BACE_97,1.933,2.825
BACE_98,2.21,2.2
BACE_99,2.516,3.495
